STATE,Counties/principal cities,Population,"Violentcrime","Murder andnonnegligentmanslaughter",Rape1,Robbery,"Aggravatedassault","Propertycrime",Burglary,"Larceny-theft","Motorvehicletheft"
CA,Includes Ventura County,,,,,,,,,,
CA,City of Oxnard,211737,801,14,66,327,394,"5,055",704,"3,568",783
CA,City of Thousand Oaks,129319,126,14,30,30,52,"1,480",236,"1,127",117
CA,City of Ventura,111272,445,2,54,117,272,"3,482",481,"2,667",334
CA,City of Camarillo,68218,78,0,16,21,41,841,110,663,68
CA,Total area actually reporting,1,2048,35,256,639,"1,118","14,659","2,235","10,774","1,650"
CA,"Rate per 100,000 inhabitants",,240.4,4.1,30.1,75,131.2,"1,720.90",262.4,"1,264.80",193.7
FL,,595540,,,,,,,,,
FL,Includes Brevard County,,,,,,,,,,
FL,City of Palm Bay,112902,404,9,64,43,288,"2,109",402,"1,583",124
FL,City of Melbourne,82844,601,5,65,101,430,"2,941",440,"2,357",144
FL,City of Titusville,46650,289,3,24,45,217,"1,397",322,918,157
FL,Total area actually reporting,1,2214,29,216,336,"1,633","12,754","2,262","9,612",880
FL,"Rate per 100,000 inhabitants",,371.8,4.9,36.3,56.4,274.2,"2,141.60",379.8,"1,614.00",147.8
FL,,185593,,,,,,,,,
FL,Includes Bay County,,,,,,,,,,
FL,City of Panama City,37318,234,2,4,45,183,"2,150",423,"1,467",260
FL,Total area actually reporting,1,760,7,72,98,583,"5,974","1,173","4,301",500
FL,"Rate per 100,000 inhabitants",,409.5,3.8,38.8,52.8,314.1,"3,218.90",632,"2,317.40",269.4
FL,,493023,,,,,,,,,
FL,Includes Escambia and Santa Rosa Counties,,,,,,,,,,
FL,City of Pensacola,52672,285,1,36,56,192,"2,012",261,"1,646",105
FL,Total area actually reporting,1,1971,13,286,311,"1,361","11,449","2,174","8,484",791
FL,"Rate per 100,000 inhabitants",,399.8,2.6,58,63.1,276.1,"2,322.20",441,"1,720.80",160.4
IL,,404570,,,,,,,,,
IL,"Includes Fulton, Marshall, Peoria, Stark, Tazewell, and Woodford Counties",, ,,,,, ,,,
IL,City of Peoria,112595,860,22,68,201,569,"4,509",890,"3,197",422
IL,Total area actually reporting,0.84,1396,26,206,244,920,,"1,593",,590
IL,Estimated total,1,1484,27,219,255,983,,"1,741",,643
IL,"Rate per 100,000 inhabitants",,366.8,6.7,54.1,63,243,,430.3,,158.9
PA,,6088470,,,,,,,,,
PA,"Includes the Metropolitan Divisions of Camden, NJ; Montgomery County-Bucks County-Chester County, PA; Philadelphia, PA; and Wilmington, DE-MD-NJ",,,,,,,,,,
PA,City of Philadelphia,1586916,14420,351,"1,095","5,262","7,712","49,145","6,497","36,968","5,680"
NH,City of Camden,73140,1198,23,64,355,756,"2,219",458,"1,242",519
DE,City of Wilmington,71157,1099,23,14,358,704,"3,502",567,"2,483",452
PA,Total area actually reporting,1,24901,540,"1,966","8,030","14,365","118,959","16,167","92,645","10,147"
PA,"Rate per 100,000 inhabitants",,409,8.9,32.3,131.9,235.9,"1,953.80",265.5,"1,521.60",166.7
NJ,,1233912,,,,,,,,,
NJ,"Includes Burlington, Camden, and Gloucester Counties",,,,,,,,,,
NJ,Total area actually reporting,1,3003,48,250,915,"1,790","21,451","3,813","16,274","1,364"
NJ,"Rate per 100,000 inhabitants",,243.4,3.9,20.3,74.2,145.1,"1,738.50",309,"1,318.90",110.5
PA,,1978598,,,,,,,,,
PA,"Includes Bucks, Chester, and Montgomery Counties",,,,,,,,,,
PA,Total area actually reporting,1,2374,54,328,508,"1,484","22,207","2,212","19,016",979
PA,"Rate per 100,000 inhabitants",,120,2.7,16.6,25.7,75,"1,122.40",111.8,961.1,49.5
PA,,2151872,,,,,,,,,
PA,Includes Delaware and Philadelphia Counties,,,,,,,,,,
PA,Total area actually reporting,1,16434,394,"1,187","5,809","9,044","58,066","7,643","43,947","6,476"
PA,"Rate per 100,000 inhabitants",,763.7,18.3,55.2,270,420.3,"2,698.40",355.2,"2,042.30",300.9
DE,,724088,,,,,,,,,
DE,"Includes New Castle County, DE; Cecil County, MD; and Salem County, NJ",,,,,,,,,,
DE,Total area actually reporting,1,3090,44,201,798,"2,047","17,235","2,499","13,408","1,328"
DE,"Rate per 100,000 inhabitants",,426.7,6.1,27.8,110.2,282.7,"2,380.20",345.1,"1,851.70",183.4
AZ,,4861204,,,,,,,,,
AZ,Includes Maricopa and Pinal Counties,,,,,,,,,,
AZ,City of Phoenix,1653080,12110,132,"1,086","3,112","7,780","57,732","10,479","39,438","7,815"
AZ,City of Mesa,504873,1837,17,238,417,"1,165","10,024","1,563","7,598",863
AZ,City of Chandler,255986,606,4,146,123,333,"5,430",658,"4,455",317
AZ,City of Scottsdale,254961,422,7,122,87,206,"5,683",711,"4,700",272
AZ,City of Tempe,188543,913,5,176,189,543,"7,802","1,017","6,247",538
AZ,City of Casa Grande,56479,346,1,32,34,279,"1,478",228,"1,144",106
AZ,Total area actually reporting,1,21687,222,"2,406","4,772","14,287","126,788","20,991","92,472","13,325"
AZ,Estimated total,1,21690,222,"2,406","4,772","14,290","126,815","20,992","92,496","13,327"
AZ,"Rate per 100,000 inhabitants",,446.2,4.6,49.5,98.2,294,"2,608.70",431.8,"1,902.70",274.2
AR,,89619, ,,,,, ,,,
AR,"Includes Cleveland, Jefferson, and Lincoln Counties",,,,,,,,,,
AR,City of Pine Bluff,42195,679,15,37,97,530,"2,278",665,"1,380",233
AR,Total area actually reporting,1,789,20,61,103,605,"3,065",954,"1,808",303
AR,"Rate per 100,000 inhabitants",,880.4,22.3,68.1,114.9,675.1,"3,420.00","1,064.50","2,017.40",338.1
PA,,2327716, ,,,,, ,,,
PA,"Includes Allegheny, Armstrong, Beaver, Butler, Fayette, Washington, and Westmoreland Counties",,,,,,,,,,
PA,City of Pittsburgh ,302544,1751,57,121,696,877,"9,125","1,341","7,055",729
PA,Total area actually reporting,0.99,6380,127,601,"1,368","4,284","32,667","4,555","26,251","1,861"
PA,Estimated total,1,6391,127,601,"1,369","4,294","32,893","4,564","26,467","1,862"
PA,"Rate per 100,000 inhabitants",,274.6,5.5,25.8,58.8,184.5,"1,413.10",196.1,"1,137.00",80
MA,,125593, ,,,,, ,,,
MA,Includes Berkshire County,,,,,,,,,,
MA,City of Pittsfield,42298,356,3,43,35,275,"1,196",464,661,71
MA,Total area actually reporting,0.89,556,5,63,50,438,"2,147",690,"1,349",108
MA,Estimated total,1,581,5,63,55,458,"2,191",690,"1,387",114
MA,"Rate per 100,000 inhabitants",,462.6,4,50.2,43.8,364.7,"1,744.50",549.4,"1,104.40",90.8
ID,,93951,,,,,,,,,
ID,Includes Bannock and Power Counties,,,,,,,,,,
ID,City of Pocatello ,55317,209,1,21,13,174,"1,568",339,"1,100",129
ID,Total area actually reporting,1,274,1,31,15,227,"2,387",433,"1,778",176
ID,"Rate per 100,000 inhabitants",,291.6,1.1,33,16,241.6,"2,540.70",460.9,"1,892.50",187.3
ME,,535224,,,,,,,,,
ME,"Includes Cumberland, Sagadahoc, and York Counties",, ,,,,,,,,
ME,City of Portland,66997,192,2,49,49,92,"1,626",169,"1,370",87
ME,City of South Portland,25557,36,0,9,4,23,455,54,388,13
ME,Total area actually reporting,1,613,5,170,112,326,"7,102",976,"5,846",280
ME,"Rate per 100,000 inhabitants",,114.5,0.9,31.8,20.9,60.9,"1,326.90",182.4,"1,092.30",52.3
OR,,2489355,,,,,,,,,
OR,"Includes Clackamas, Columbia, Multnomah, Washington, and Yamhill Counties, OR and Clark and Skamania Counties, WA",,,,,,,,,,
OR,City of Portland,657260,3418,25,438,"1,056","1,899","35,884","4,444","24,508","6,932"
WA,City of Vancouver,177580,819,3,150,155,511,"5,852",789,"3,987","1,076"
OR,City of Hillsboro,109121,287,0,61,54,172,"2,077",208,"1,651",218
OR,City of Beaverton,98616,189,2,59,40,88,"2,039",191,"1,587",261
OR,City of Tigard,53880,114,0,30,33,51,"1,558",180,"1,277",101
OR,Total area actually reporting,1,7405,48,"1,377","1,748","4,232","71,193","9,064","49,785","12,344"
OR,Estimated total,1,7446,48,"1,382","1,759","4,257","71,444","9,077","50,006","12,361"
OR,"Rate per 100,000 inhabitants",,299.1,1.9,55.5,70.7,171,"2,870.00",364.6,"2,008.80",496.6
FL,,480458,,,,,,,,,
FL,Includes Martin and St. Lucie Counties,, ,,,,,,,,
FL,City of Port St. Lucie,193137,218,2,26,31,159,"1,851",256,"1,523",72
FL,Total area actually reporting,1,1200,21,177,208,794,"6,598",965,"5,275",358
FL,"Rate per 100,000 inhabitants",,249.8,4.4,36.8,43.3,165.3,"1,373.30",200.9,"1,097.90",74.5
NY,,666032,,,,,,,,,
NY,Includes Dutchess and Orange Counties,, ,,,,, ,,,
NY,City of Poughkeepsie,30580,216,4,26,59,127,494,85,374,35
NY,City of Newburgh,28282,329,2,24,102,201,657,141,475,41
NY,City of Middletown,27885,110,0,20,28,62,510,71,421,18
NY,City of Woodbury Town,11114,7,0,1,3,3,416,0,414,2
NY,Total area actually reporting,1,1311,11,251,277,772,"8,093",898,"6,920",275
NY,Estimated total,1,1311,11,251,277,772,"8,109",899,"6,935",275
NY,"Rate per 100,000 inhabitants",,196.8,1.7,37.7,41.6,115.9,"1,217.50",135,"1,041.20",41.3
AZ,,232771,,,,,,,,,
AZ,Includes Yavapai County,, ,,,,,,,,
AZ,City of Prescott Valley,45337,67,1,10,5,51,776,73,676,27
AZ,City of Prescott,43172,136,2,11,2,121,896,107,749,40
AZ,Total area actually reporting,1,605,7,68,22,508,"3,777",589,"2,969",219
AZ,"Rate per 100,000 inhabitants",,259.9,3,29.2,9.5,218.2,"1,622.60",253,"1,275.50",94.1
RI,,1620470,,,,,,,,,
RI,"Includes Bristol County, MA and Bristol, Kent, Newport, Providence, and Washington Counties, RI",, ,,,,, ,,,
RI,City of Providence,180169,819,10,109,248,452,"5,679",931,"4,196",552
RI,City of Warwick,80380,73,1,27,9,36,"1,372",136,"1,178",58
RI,Total area actually reporting,1,4582,23,695,804,"3,060","24,805","4,203","18,519","2,083"
RI,Estimated total,1,4603,23,696,808,"3,076","24,843","4,204","18,550","2,089"
RI,"Rate per 100,000 inhabitants",,284.1,1.4,43,49.9,189.8,"1,533.10",259.4,"1,144.70",128.9
UT,,633113,,,,,,,,,
UT,Includes Juab and Utah Counties,, ,,,,, ,,,
UT,City of Provo ,117986,207,2,70,22,113,"2,090",209,"1,747",134
UT,City of Orem,99221,69,1,20,12,36,"1,827",152,"1,576",99
UT,Total area actually reporting,1,556,5,203,47,301,"8,610",889,"7,226",495
UT,"Rate per 100,000 inhabitants",,87.8,0.8,32.1,7.4,47.5,"1,359.90",140.4,"1,141.30",78.2
CO,,167573, ,,,,, ,,,
CO,Includes Pueblo County,,,,,,,,,,
CO,City of Pueblo,111756,1110,9,185,220,696,"6,231","1,224","3,947","1,060"
CO,Total area actually reporting,1,1162,10,186,234,732,"7,352","1,451","4,679","1,222"
CO,"Rate per 100,000 inhabitants",,693.4,6,111,139.6,436.8,"4,387.30",865.9,"2,792.20",729.2
FL,,185327, ,,,,, ,,,
FL,Includes Charlotte County,,,,,,,,,,
FL,City of Punta Gorda ,20170,11,0,1,2,8,330,28,290,12
FL,Total area actually reporting,1,361,2,32,19,308,"2,093",255,"1,724",114
FL,"Rate per 100,000 inhabitants",,194.8,1.1,17.3,10.3,166.2,"1,129.40",137.6,930.2,61.5
WI,,196249, ,,,,, ,,,
WI,Includes Racine County,,,,,,,,,,
WI,City of Racine,77373,435,8,54,81,292,"1,662",347,"1,196",119
WI,Total area actually reporting,1,518,8,59,93,358,"2,744",521,"2,054",169
WI,"Rate per 100,000 inhabitants",,264,4.1,30.1,47.4,182.4,"1,398.20",265.5,"1,046.60",86.1
SD,,140572, ,,,,, ,,,
SD,Includes Meade and Pennington Counties,,,,,,,,,,
SD,City of Rapid City ,75290,492,2,99,65,326,"2,194",428,"1,502",264
SD,Total area actually reporting,1,713,2,184,68,459,"3,123",626,"2,151",346
SD,"Rate per 100,000 inhabitants",,507.2,1.4,130.9,48.4,326.5,"2,221.60",445.3,"1,530.20",246.1
PA,,418275, ,,,,, ,,,
PA,Includes Berks County,,,,,,,,,,
PA,City of Reading ,88466,621,19,53,221,328,"1,984",603,"1,192",189
PA,Total area actually reporting,1,989,23,103,284,579,"5,452","1,062","4,042",348
PA,"Rate per 100,000 inhabitants",,236.4,5.5,24.6,67.9,138.4,"1,303.40",253.9,966.3,83.2
CA,,178909, ,,,,, ,,,
CA,Includes Shasta County,,,,,,,,,,
CA,City of Redding ,92068,620,2,87,96,435,"3,433",613,"2,281",539
CA,Total area actually reporting,1,1163,13,137,127,886,"5,131","1,182","3,020",929
CA,"Rate per 100,000 inhabitants",,650.1,7.3,76.6,71,495.2,"2,867.90",660.7,"1,688.00",519.3
NV,,469042,,,,,,,,,
NV,Includes Storey and Washoe Counties,, ,,,,,,,,
NV,City of Reno,252341,1636,6,174,303,"1,153","6,053","1,073","3,930","1,050"
NV,Total area actually reporting,1,2408,16,301,406,"1,685","9,761","1,881","6,394","1,486"
NV,"Rate per 100,000 inhabitants",,513.4,3.4,64.2,86.6,359.2,"2,081.10",401,"1,363.20",316.8
VA,,1279968,,,,,,,,,
VA,"Includes Amelia, Charles City, Chesterfield, Dinwiddie, Goochland, Hanover, Henrico, King and Queen, King William, New Kent, Powhatan, Prince George, and Sussex Counties and Colonial Heights, Hopewell, Petersburg, and Richmond Cities",,,,,,,,,,
VA,City of Richmond ,229927,1190,52,77,428,633,"8,807","1,121","6,518","1,168"
VA,Total area actually reporting,1,3064,100,354,808,"1,802","27,596","3,176","21,972","2,448"
VA,"Rate per 100,000 inhabitants",,239.4,7.8,27.7,63.1,140.8,"2,156.00",248.1,"1,716.60",191.3
CA,,4595416,,,,,,,,,
CA,Includes Riverside and San Bernardino Counties,,,,,,,,,,
CA,City of Riverside ,331022,1686,14,150,543,979,"10,226","1,470","6,911","1,845"
CA,City of San Bernardino,217986,2906,49,153,974,"1,730","9,014","2,226","4,594","2,194"
CA,City of Ontario,177542,670,6,106,231,327,"4,584",723,"2,858","1,003"
CA,City of Corona,170041,263,6,46,119,92,"3,264",488,"2,185",591
CA,City of Temecula,116411,139,0,4,60,75,"2,711",429,"1,964",318
CA,City of Chino,91535,259,1,25,67,166,"2,216",407,"1,508",301
CA,City of Redlands,71954,264,5,64,82,113,"2,491",326,"1,842",323
CA,City of Palm Desert,53567,91,0,6,21,64,"1,989",329,"1,530",130
CA,Total area actually reporting,1,17937,220,"1,479","5,306","10,932","112,378","21,681","69,078","21,619"
CA,"Rate per 100,000 inhabitants",,390.3,4.8,32.2,115.5,237.9,"2,445.40",471.8,"1,503.20",470.4
VA,,314160, ,,,,, ,,,
VA,"Includes Botetourt, Craig, Franklin, and Roanoke Counties and Roanoke and Salem Cities",,,,,,,,,,
VA,City of Roanoke,100042,427,12,48,103,264,"4,434",488,"3,579",367
VA,Total area actually reporting,1,739,22,126,149,442,"7,472",842,"6,044",586
VA,"Rate per 100,000 inhabitants",,235.2,7,40.1,47.4,140.7,"2,378.40",268,"1,923.90",186.5
MN,,219724, ,,,,, ,,,
MN,"Includes Dodge, Fillmore, Olmsted, and Wabasha2 Counties",,,,,,,,,,
MN,City of Rochester,117037,227,5,58,41,123,"2,435",353,"1,952",130
MN,Total area actually reporting,1,312,6,83,48,175,"3,101",504,"2,424",173
MN,"Rate per 100,000 inhabitants",,142,2.7,37.8,21.8,79.6,"1,411.30",229.4,"1,103.20",78.7
NY,,1057448,,,,,, ,,,
NY,"Includes Livingston, Monroe, Ontario, Orleans, Wayne, and Yates Counties",,,,,,,,,,
NY,City of Rochester,207701,1615,29,131,516,939,"7,036","1,178","5,285",573
NY,Total area actually reporting,1,2718,44,452,720,"1,502","18,593","2,810","14,760","1,023"
NY,Estimated total,1,2720,44,452,720,"1,504","18,632","2,814","14,794","1,024"
NY,"Rate per 100,000 inhabitants",,257.2,4.2,42.7,68.1,142.2,"1,762.00",266.1,"1,399.00",96.8
IL,,335289, ,,,,, ,,,
IL,Includes Boone and Winnebago Counties,,,,,,,,,,
IL,City of Rockford,146196,2027,23,133,346,"1,525","5,368","1,169","3,752",447
IL,Total area actually reporting,0.99,2487,35,252,394,"1,806","7,954","1,683","5,687",584
IL,Estimated total,1,2490,35,252,394,"1,809","7,998","1,691","5,720",587
IL,"Rate per 100,000 inhabitants",,742.6,10.4,75.2,117.5,539.5,"2,385.40",504.3,"1,706.00",175.1
NC,,145982, ,,,,, ,,,
NC,Includes Edgecombe and Nash Counties3,,,,,,,,,,
NC,City of Rocky Mount3 ,54085,,13,,87,320,"1,577",424,"1,053",100
NC,Total area actually reporting,0.93,578,18,35,116,409,"2,630",793,"1,677",160
NC,Estimated total,1,609,18,37,120,434,"2,932",856,"1,902",174
NC,"Rate per 100,000 inhabitants",,417.2,12.3,25.3,82.2,297.3,"2,008.50",586.4,"1,302.90",119.2
CA,,2332284,,,,,,,,,
CA,"Includes El Dorado, Placer, Sacramento, and Yolo Counties",,,,,,,,,,
CA,City of Sacramento,507037,3329,36,102,"1,052","2,139","15,417","2,751","9,783","2,883"
CA,City of Roseville,137706,299,3,28,133,135,"3,252",428,"2,543",281
CA,City of Folsom,78916,85,1,20,29,35,"1,245",245,918,82
CA,City of Rancho Cordova,74863,272,3,26,74,169,"1,388",257,934,197
CA,City of West Sacramento,54215,225,1,17,92,115,"1,412",224,931,257
CA,Total area actually reporting,1,8754,86,682,"2,456","5,530","50,411","8,922","33,827","7,662"
CA,"Rate per 100,000 inhabitants",,375.3,3.7,29.2,105.3,237.1,"2,161.40",382.5,"1,450.40",328.5
MI,,191213,,,,,,,,,
MI,Includes Saginaw County,, ,,,,,,,,
MI,City of Saginaw,48302,783,11,48,86,638,886,376,420,90
MI,Total area actually reporting,1,1264,18,159,113,974,"3,001",751,"2,035",215
MI,"Rate per 100,000 inhabitants",,661,9.4,83.2,59.1,509.4,"1,569.50",392.8,"1,064.30",112.4
OR,,430201, ,,,,, ,,,
OR,Includes Marion3 and Polk Counties,,,,,,,,,,
OR,City of Salem ,172022,719,5,56,177,481,"7,170",934,"5,338",898
OR,Total area actually reporting,1,1236,10,145,258,823,"13,428","1,797","9,986","1,645"
OR,"Rate per 100,000 inhabitants",,287.3,2.3,33.7,60,191.3,"3,121.30",417.7,"2,321.20",382.4
CA,,437653, ,,,,, ,,,
CA,Includes Monterey County,,,,,,,,,,
CA,City of Salinas,158590,981,19,100,321,541,"4,304",897,"2,180","1,227"
CA,Total area actually reporting,1,1750,27,197,483,"1,043","9,030","1,767","5,416","1,847"
CA,"Rate per 100,000 inhabitants",,399.9,6.2,45,110.4,238.3,"2,063.30",403.7,"1,237.50",422
MD,,408178, ,,,,, ,,,
MD,"Includes Sussex County, DE and Somerset, Wicomico, and Worcester Counties, MD",,,,,,,,,,
MD,City of Salisbury,33183,272,3,21,74,174,"1,548",195,"1,312",41
MD,Total area actually reporting,1,1413,10,150,232,"1,021","9,150","1,711","7,138",301
MD,"Rate per 100,000 inhabitants",,346.2,2.4,36.7,56.8,250.1,"2,241.70",419.2,"1,748.70",73.7
UT,,1223475, ,,,,, ,,,
UT,Includes Salt Lake and Tooele Counties,,,,,,,,,,
UT,City of Salt Lake City,202633,1480,10,245,414,811,"12,516","1,601","9,422","1,493"
UT,Total area actually reporting,1,4513,33,903,958,"2,619","44,779","5,695","33,636","5,448"
UT,Estimated total,1,4514,33,903,958,"2,620","44,796","5,697","33,649","5,450"
UT,"Rate per 100,000 inhabitants",,368.9,2.7,73.8,78.3,214.1,"3,661.40",465.6,"2,750.30",445.5
TX,,121589, ,,,,, ,,,
TX,"Includes Irion,2 Sterling,2 and Tom Green Counties",,,,,,,,,,
TX,City of San Angelo,101084,373,2,82,52,237,"3,383",583,"2,567",233
TX,Total area actually reporting,1,401,3,101,52,245,"3,718",701,"2,756",261
TX,"Rate per 100,000 inhabitants",,329.8,2.5,83.1,42.8,201.5,"3,057.80",576.5,"2,266.70",214.7
TX,,2516781, ,,,,, ,,,
TX,"Includes Atascosa, Bandera, Bexar, Comal,4 Guadalupe, Kendall, Medina, and Wilson Counties",,,,,,,,,,
TX,City of San Antonio,1539328,9647,107,"1,346","1,767","6,427","61,478","9,118","46,271","6,089"
TX,City of New Braunfels,82739,241,2,43,22,174,"1,197",215,892,90
TX,Total area actually reporting,1,,135,"1,818","2,021",,"77,793","12,085","58,321","7,387"
TX,Estimated total,1,,135,"1,818","2,021",,"77,809","12,089","58,332","7,388"
TX,"Rate per 100,000 inhabitants",,,5.4,72.2,80.3,,"3,091.60",480.3,"2,317.70",293.5
CA,,3346474,,,,,,,,,
CA,Includes San Diego County,,,,,,,,,,
CA,City of San Diego,1436495,5360,35,605,"1,439","3,281","27,416","3,752","18,482","5,182"
CA,City of Chula Vista,274370,835,6,79,256,494,"3,611",585,"2,338",688
CA,City of Carlsbad,116739,243,1,39,52,151,"2,100",299,"1,649",152
CA,City of Poway,50346,65,1,11,10,43,509,92,380,37
CA,Total area actually reporting,1,11414,85,"1,162","2,976","7,191","56,699","8,292","38,819","9,588"
CA,"Rate per 100,000 inhabitants",,341.1,2.5,34.7,88.9,214.9,"1,694.30",247.8,"1,160.00",286.5
CA,,4747868,,,,,,,,,
CA,"Includes the Metropolitan Divisions of Oakland-Berkeley-Livermore, San Francisco-San Mateo-Redwood City, and San Rafael",,,,,,,,,,
CA,City of San Francisco,889282,6144,46,354,"3,165","2,579","49,214","5,322","39,675","4,217"
CA,City of Oakland,430230,5480,70,448,"2,624","2,338","23,190","2,394","15,725","5,071"
CA,City of Berkeley,123735,586,1,65,353,167,"5,381",829,"4,004",548
CA,City of San Mateo,105839,285,0,25,88,172,"2,163",590,"1,360",213
CA,City of Livermore,91612,186,0,33,58,95,"1,696",212,"1,329",155
CA,City of Redwood City,88161,177,0,45,53,79,"1,254",172,912,170
CA,City of Pleasanton,84992,110,0,6,57,47,"1,445",156,"1,177",112
CA,City of San Ramon,76569,43,0,4,21,18,786,103,631,52
CA,City of Walnut Creek,70587,109,2,3,35,69,"2,249",303,"1,812",134
CA,City of South San Francisco,67973,181,0,22,56,103,"1,444",257,"1,002",185
CA,City of San Rafael,59254,257,2,32,107,116,"1,695",277,"1,050",368
CA,Total area actually reporting,1,22443,196,"1,820","10,332","10,095","155,896","19,033","114,842","22,021"
CA,"Rate per 100,000 inhabitants",,472.7,4.1,38.3,217.6,212.6,"3,283.50",400.9,"2,418.80",463.8
CA,,2825431,,,,,,,,,
CA,Includes Alameda and Contra Costa Counties,,,,,,,,,,
CA,Total area actually reporting,1,13828,132,"1,097","6,334","6,265","86,407","10,403","60,430","15,574"
CA,"Rate per 100,000 inhabitants",,489.4,4.7,38.8,224.2,221.7,"3,058.20",368.2,"2,138.80",551.2
CA,,1662338,,,,,,,,,
CA,Includes San Francisco and San Mateo Counties,,,,,,,,,,
CA,Total area actually reporting,1,8087,59,659,"3,831","3,538","64,795","7,808","51,096","5,891"
CA,"Rate per 100,000 inhabitants",,486.5,3.5,39.6,230.5,212.8,"3,897.80",469.7,"3,073.70",354.4
CA,,260099,,,,,,,,,
CA,Includes Marin County,,,,,,,,,,
CA,Total area actually reporting,1,528,5,64,167,292,"4,694",822,"3,316",556
CA,"Rate per 100,000 inhabitants",,203,1.9,24.6,64.2,112.3,"1,804.70",316,"1,274.90",213.8
CA,,2006271,,,,,,,,,
CA,Includes San Benito and Santa Clara Counties,,,,,,,,,,
CA,City of San Jose,1047305,4444,28,615,"1,593","2,208","25,753","4,539","13,510","7,704"
CA,City of Sunnyvale,155637,255,1,43,71,140,"2,541",424,"1,764",353
CA,City of Santa Clara,128682,208,1,33,74,100,"3,741",429,"2,860",452
CA,City of Mountain View,82518,157,0,13,59,85,"2,103",276,"1,659",168
CA,City of Milpitas,79895,87,0,11,45,31,"1,934",243,"1,435",256
CA,City of Palo Alto,67560,72,0,5,30,37,"1,513",234,"1,197",82
CA,City of Cupertino,61078,72,0,18,14,40,956,183,720,53
CA,Total area actually reporting,1,6304,33,869,"2,135","3,267","46,073","7,540","28,213","10,320"
CA,"Rate per 100,000 inhabitants",,314.2,1.6,43.3,106.4,162.8,"2,296.40",375.8,"1,406.20",514.4
CA,,283198,,,,,,,,,
CA,Includes San Luis Obispo County,, ,,,,,,,,
CA,City of San Luis Obispo,47885,192,1,55,33,103,"1,809",242,"1,493",74
CA,City of Paso Robles,32228,43,0,13,7,23,797,133,610,54
CA,Total area actually reporting,1,746,3,122,72,549,"5,569","1,079","4,169",321
CA,"Rate per 100,000 inhabitants",,263.4,1.1,43.1,25.4,193.9,"1,966.50",381,"1,472.10",113.3
CA,,275614,,,,,,,,,
CA,Includes Santa Cruz County,, ,,,,,,,,
CA,City of Santa Cruz,65680,390,1,34,66,289,"2,905",336,"2,308",261
CA,City of Watsonville,54513,243,1,18,50,174,"1,330",196,785,349
CA,Total area actually reporting,1,989,5,103,173,708,"7,530","1,064","5,509",957
CA,"Rate per 100,000 inhabitants",,358.8,1.8,37.4,62.8,256.9,"2,732.10",386,"1,998.80",347.2
NM,,149630,,,,,,,,,
NM,Includes Santa Fe County,, ,,,,,,,,
NM,City of Santa Fe,84176,333,5,32,89,207,"3,388","1,380","1,786",222
NM,Total area actually reporting,1,592,6,42,115,429,"4,111","1,720","2,147",244
NM,"Rate per 100,000 inhabitants",,395.6,4,28.1,76.9,286.7,"2,747.40","1,149.50","1,434.90",163.1
CA,,448173,,,,,,,,,
CA,Includes Santa Barbara County,,,,,,,,,,
CA,City of Santa Maria,108100,497,6,60,159,272,"1,932",377,979,576
CA,City of Santa Barbara,92630,415,1,77,89,248,"2,333",261,"1,894",178
CA,Total area actually reporting,1,1493,11,229,322,931,"7,633","1,322","5,203","1,108"
CA,"Rate per 100,000 inhabitants",,333.1,2.5,51.1,71.8,207.7,"1,703.10",295,"1,160.90",247.2
CA,,503136,,,,,,,,,
CA,Includes Sonoma County,, ,,,,,,,,
CA,City of Santa Rosa,176325,823,3,149,147,524,"3,118",547,"2,179",392
CA,City of Petaluma,61289,197,0,31,27,139,889,153,668,68
CA,Total area actually reporting,1,1985,9,312,268,"1,396","7,167","1,375","5,109",683
CA,"Rate per 100,000 inhabitants",,394.5,1.8,62,53.3,277.5,"1,424.50",273.3,"1,015.40",135.7
GA,,392726, ,,,,, ,,,
GA,"Includes Bryan, Chatham, and Effingham Counties",,,,,,,,,,
GA,City of Savannah-Chatham Metropolitan,242265,982,28,85,267,602,"5,960",884,"4,420",656
GA,Total area actually reporting,1,1516,36,141,368,971,"10,688","1,632","7,980","1,076"
GA,"Rate per 100,000 inhabitants",,386,9.2,35.9,93.7,247.2,"2,721.50",415.6,"2,032.00",274
PA,,553684,,,,,,,,,
PA,"Includes Lackawanna, Luzerne, and Wyoming Counties",, ,,,,,,,,
PA,City of Scranton,77827,811,2,43,62,704,"1,505",340,"1,080",85
PA,City of Wilkes-Barre,40710,210,4,30,85,91,965,204,707,54
PA,Total area actually reporting,0.99,1913,21,204,249,"1,439","7,524","1,328","5,816",380
PA,Estimated total,1,1914,21,204,249,"1,440","7,569","1,330","5,859",380
PA,"Rate per 100,000 inhabitants",,345.7,3.8,36.8,45,260.1,"1,367.00",240.2,"1,058.20",68.6
PA,,3946150,,,,,,,,,
WA,Includes the Metropolitan Divisions of Seattle-Bellevue-Kent and Tacoma-Lakewood,,,,,,,,,,
WA,City of Seattle,742759,5052,32,292,"1,649","3,079","38,246","7,985","26,219","4,042"
WA,City of Tacoma,215687,1869,17,198,503,"1,151","11,362","1,912","7,573","1,877"
WA,City of Bellevue,146913,194,0,27,82,85,"4,294",519,"3,395",380
WA,City of Kent,129870,452,5,92,196,159,"5,953",854,"3,949","1,150"
WA,City of Everett,111091,373,5,55,110,203,"4,683",650,"3,077",956
